filename,width,height,class,xmin,ymin,xmax,ymax
00069.png,264,228,mound,214,46,264,96
00069.png,264,228,mound,139,123,186,168
00069.png,264,228,mound,96,139,140,182
00069.png,264,228,mound,99,84,144,130
00069.png,264,228,mound,47,174,73,209
00069.png,264,228,mound,6,191,36,228
00069.png,264,228,mound,27,139,58,169
00069.png,264,228,mound,0,171,39,189
00069.png,264,228,mound,83,61,105,85
00069.png,264,228,mound,10,51,38,86
00069.png,264,228,mound,70,17,95,45
00069.png,264,228,mound,50,52,73,75
00069.png,264,228,mound,37,30,57,47
00069.png,264,228,mound,96,4,123,27
00069.png,264,228,mound,226,169,264,204
00069.png,264,228,mound,165,96,199,120
00069.png,264,228,mound,188,98,229,132
