filename,width,height,class,xmin,ymin,xmax,ymax
55.png,328,272,mound,40,235,81,272
55.png,328,272,mound,25,127,71,166
55.png,328,272,mound,176,139,220,184
55.png,328,272,mound,233,126,272,165
55.png,328,272,mound,266,8,313,53
55.png,328,272,mound,192,6,230,45
55.png,328,272,mound,169,46,213,91
55.png,328,272,mound,156,25,182,49
55.png,328,272,mound,77,130,110,164
55.png,328,272,mound,115,25,144,55
55.png,328,272,mound,94,47,120,72
55.png,328,272,mound,71,169,93,190
55.png,328,272,mound,37,196,71,230
55.png,328,272,mound,72,196,108,233
55.png,328,272,mound,112,155,138,180
55.png,328,272,mound,120,115,158,150
55.png,328,272,mound,110,2,134,26
55.png,328,272,mound,97,85,132,118
55.png,328,272,mound,123,61,161,100
55.png,328,272,mound,237,61,282,113
55.png,328,272,mound,75,29,104,59
55.png,328,272,mound,195,119,216,137
