filename,width,height,class,xmin,ymin,xmax,ymax
22.png,312,360,mound,119,88,152,121
22.png,312,360,mound,160,117,209,166
22.png,312,360,mound,162,173,205,212
22.png,312,360,mound,209,102,238,129
22.png,312,360,mound,214,171,255,212
22.png,312,360,mound,172,221,205,252
22.png,312,360,mound,152,246,181,276
22.png,312,360,mound,182,249,219,282
22.png,312,360,mound,42,144,89,185
22.png,312,360,mound,99,234,135,265
22.png,312,360,mound,120,261,155,291
22.png,312,360,mound,151,276,184,308
22.png,312,360,mound,275,41,312,77
22.png,312,360,mound,204,49,236,78
22.png,312,360,mound,226,78,253,102
22.png,312,360,mound,241,104,264,125
22.png,312,360,mound,157,325,184,344
22.png,312,360,mound,144,74,168,97
22.png,312,360,mound,103,128,147,168
