filename,width,height,class,xmin,ymin,xmax,ymax
ID=13_x=00_y=01.png,1024,1024,quanat,638,959,685,1005
ID=13_x=00_y=01.png,1024,1024,quanat,699,894,752,936
ID=13_x=00_y=02.png,1024,1024,quanat,371,188,407,226
ID=13_x=00_y=02.png,1024,1024,quanat,432,127,466,161
ID=13_x=00_y=02.png,1024,1024,quanat,447,81,485,117
ID=13_x=00_y=02.png,1024,1024,quanat,470,108,503,136
ID=13_x=00_y=02.png,1024,1024,quanat,524,36,567,81
ID=13_x=00_y=02.png,1024,1024,quanat,581,1,624,32
ID=13_x=00_y=02.png,1024,1024,quanat,321,234,358,268
ID=13_x=00_y=02.png,1024,1024,quanat,598,873,631,908
ID=13_x=00_y=02.png,1024,1024,quanat,611,910,639,937
ID=13_x=00_y=02.png,1024,1024,quanat,613,955,643,986
ID=13_x=00_y=02.png,1024,1024,quanat,661,952,689,975
ID=13_x=00_y=02.png,1024,1024,quanat,677,906,701,931
ID=13_x=00_y=02.png,1024,1024,quanat,676,870,703,892
ID=13_x=00_y=02.png,1024,1024,quanat,648,840,677,868
ID=13_x=00_y=02.png,1024,1024,quanat,692,804,717,833
ID=13_x=00_y=02.png,1024,1024,quanat,796,787,827,819
ID=13_x=02_y=00.png,1024,1024,quanat,961,327,1001,365
ID=13_x=02_y=00.png,1024,1024,quanat,948,389,985,425
ID=13_x=02_y=00.png,1024,1024,quanat,928,437,970,470
ID=13_x=02_y=00.png,1024,1024,quanat,901,598,929,629
ID=13_x=02_y=00.png,1024,1024,quanat,880,647,921,682
ID=13_x=02_y=00.png,1024,1024,quanat,873,690,904,725
ID=13_x=02_y=00.png,1024,1024,quanat,833,832,865,876
ID=13_x=02_y=00.png,1024,1024,quanat,818,885,855,911
ID=13_x=02_y=00.png,1024,1024,quanat,804,919,841,946
ID=13_x=02_y=00.png,1024,1024,quanat,798,966,834,1000
ID=13_x=02_y=00.png,1024,1024,quanat,908,536,938,570
ID=13_x=01_y=02.png,1024,1024,quanat,450,682,467,697
ID=13_x=01_y=02.png,1024,1024,quanat,458,669,475,682
ID=13_x=01_y=02.png,1024,1024,quanat,468,658,482,672
ID=13_x=01_y=02.png,1024,1024,quanat,473,645,489,660
ID=13_x=01_y=02.png,1024,1024,quanat,481,631,495,643
ID=13_x=01_y=02.png,1024,1024,quanat,485,616,500,630
ID=13_x=01_y=02.png,1024,1024,quanat,511,580,525,592
ID=13_x=02_y=02.png,1024,1024,quanat,187,710,206,727
ID=13_x=02_y=02.png,1024,1024,quanat,189,674,215,699
ID=13_x=02_y=02.png,1024,1024,quanat,198,646,222,668
ID=13_x=02_y=02.png,1024,1024,quanat,215,609,236,625
ID=13_x=02_y=02.png,1024,1024,quanat,232,579,253,597
ID=13_x=02_y=02.png,1024,1024,quanat,255,544,275,566
ID=13_x=02_y=02.png,1024,1024,quanat,276,516,302,537
ID=13_x=02_y=02.png,1024,1024,quanat,272,425,293,440
ID=13_x=02_y=02.png,1024,1024,quanat,272,484,297,502
ID=13_x=02_y=02.png,1024,1024,quanat,289,349,311,367
ID=13_x=02_y=02.png,1024,1024,quanat,391,57,414,76
ID=13_x=02_y=02.png,1024,1024,quanat,308,270,332,293
ID=13_x=02_y=02.png,1024,1024,quanat,946,756,967,780
ID=13_x=02_y=02.png,1024,1024,quanat,959,717,982,740
ID=13_x=04_y=01.png,1024,1024,quanat,622,2,655,29
ID=13_x=04_y=01.png,1024,1024,quanat,675,20,709,56
ID=13_x=04_y=01.png,1024,1024,quanat,663,66,696,99
ID=13_x=04_y=01.png,1024,1024,quanat,655,117,685,147
ID=13_x=04_y=01.png,1024,1024,quanat,635,135,663,162
ID=13_x=04_y=01.png,1024,1024,quanat,619,152,645,173
ID=13_x=04_y=01.png,1024,1024,quanat,609,171,638,196
ID=13_x=04_y=01.png,1024,1024,quanat,590,209,617,239
ID=13_x=04_y=01.png,1024,1024,quanat,568,251,595,281
ID=13_x=04_y=01.png,1024,1024,quanat,546,295,574,321
ID=13_x=04_y=01.png,1024,1024,quanat,424,362,456,389
ID=13_x=04_y=01.png,1024,1024,quanat,446,326,478,353
ID=13_x=04_y=01.png,1024,1024,quanat,468,285,498,314
ID=13_x=04_y=01.png,1024,1024,quanat,492,241,524,270
ID=13_x=04_y=01.png,1024,1024,quanat,510,201,544,233
ID=13_x=04_y=01.png,1024,1024,quanat,530,166,567,201
ID=13_x=04_y=01.png,1024,1024,quanat,552,139,583,166
ID=13_x=04_y=01.png,1024,1024,quanat,571,104,603,134
ID=13_x=04_y=01.png,1024,1024,quanat,592,64,624,100
ID=13_x=04_y=01.png,1024,1024,quanat,602,31,637,62
ID=13_x=04_y=01.png,1024,1024,quanat,404,392,440,427
ID=13_x=04_y=01.png,1024,1024,quanat,401,440,436,473
ID=13_x=04_y=01.png,1024,1024,quanat,371,466,402,493
ID=13_x=04_y=01.png,1024,1024,quanat,351,503,381,533
ID=13_x=04_y=01.png,1024,1024,quanat,328,541,357,567
ID=13_x=04_y=01.png,1024,1024,quanat,306,575,330,600
ID=13_x=04_y=01.png,1024,1024,quanat,289,613,313,636
ID=13_x=04_y=01.png,1024,1024,quanat,275,642,298,662
ID=13_x=04_y=01.png,1024,1024,quanat,268,662,289,683
ID=13_x=04_y=01.png,1024,1024,quanat,249,693,274,716
ID=13_x=04_y=01.png,1024,1024,quanat,229,725,248,744
ID=13_x=04_y=01.png,1024,1024,quanat,210,755,233,773
ID=13_x=04_y=01.png,1024,1024,quanat,188,780,211,801
ID=13_x=04_y=01.png,1024,1024,quanat,166,822,188,844
ID=13_x=04_y=01.png,1024,1024,quanat,844,584,877,612
ID=13_x=04_y=00.png,1024,1024,quanat,5,448,36,475
ID=13_x=04_y=00.png,1024,1024,quanat,28,512,53,535
ID=13_x=04_y=00.png,1024,1024,quanat,649,965,673,987
ID=13_x=04_y=00.png,1024,1024,quanat,633,992,665,1024
ID=13_x=04_y=00.png,1024,1024,quanat,664,928,678,947
ID=13_x=04_y=00.png,1024,1024,quanat,697,966,727,992
ID=13_x=04_y=00.png,1024,1024,quanat,711,915,739,937
ID=13_x=04_y=00.png,1024,1024,quanat,664,883,687,909
