filename,classification
ID=10_x=00_y=00.png,0
ID=10_x=00_y=01.png,0
ID=10_x=00_y=02.png,0
ID=10_x=00_y=03.png,1
ID=10_x=00_y=04.png,0
ID=10_x=00_y=05.png,0
ID=10_x=00_y=06.png,0
ID=10_x=00_y=07.png,0
ID=10_x=01_y=00.png,0
ID=10_x=01_y=01.png,0
ID=10_x=01_y=02.png,exclude
ID=10_x=01_y=03.png,1
ID=10_x=01_y=04.png,0
ID=10_x=01_y=05.png,0
ID=10_x=01_y=06.png,0
ID=10_x=01_y=07.png,0
ID=10_x=02_y=00.png,0
ID=10_x=02_y=01.png,0
ID=10_x=02_y=02.png,1
ID=10_x=02_y=03.png,1
ID=10_x=02_y=04.png,exclude
ID=10_x=02_y=05.png,0
ID=10_x=02_y=06.png,0
ID=10_x=02_y=07.png,0
ID=10_x=03_y=00.png,0
ID=10_x=03_y=01.png,1
ID=10_x=03_y=02.png,exclude
ID=10_x=03_y=03.png,1
ID=10_x=03_y=04.png,0
ID=10_x=03_y=05.png,0
ID=10_x=03_y=06.png,0
ID=10_x=03_y=07.png,0
ID=10_x=04_y=00.png,0
ID=10_x=04_y=01.png,1
ID=10_x=04_y=02.png,0
ID=10_x=04_y=03.png,1
ID=10_x=04_y=04.png,1
ID=10_x=04_y=05.png,exclude
ID=10_x=04_y=06.png,0
ID=10_x=04_y=07.png,0
ID=10_x=05_y=00.png,0
ID=10_x=05_y=01.png,1
ID=10_x=05_y=02.png,0
ID=10_x=05_y=03.png,1
ID=10_x=05_y=04.png,0
ID=10_x=05_y=05.png,0
ID=10_x=05_y=06.png,0
ID=10_x=05_y=07.png,0
ID=10_x=06_y=00.png,0
ID=10_x=06_y=01.png,1
ID=10_x=06_y=02.png,0
ID=10_x=06_y=03.png,1
ID=10_x=06_y=04.png,0
ID=10_x=06_y=05.png,0
ID=10_x=06_y=06.png,0
ID=10_x=06_y=07.png,0
ID=10_x=07_y=00.png,0
ID=10_x=07_y=01.png,1
ID=10_x=07_y=02.png,1
ID=10_x=07_y=03.png,1
ID=10_x=07_y=04.png,1
ID=10_x=07_y=05.png,0
ID=10_x=07_y=06.png,0
ID=10_x=07_y=07.png,0
ID=10_x=08_y=00.png,exclude
ID=10_x=08_y=01.png,1
ID=10_x=08_y=02.png,1
ID=10_x=08_y=03.png,0
ID=10_x=08_y=04.png,0
ID=10_x=08_y=05.png,0
ID=10_x=08_y=06.png,0
ID=10_x=08_y=07.png,0
ID=10_x=09_y=00.png,0
ID=10_x=09_y=01.png,1
ID=10_x=09_y=02.png,1
ID=10_x=09_y=03.png,exclude
ID=10_x=09_y=04.png,0
ID=10_x=09_y=05.png,0
ID=10_x=09_y=06.png,0
ID=10_x=09_y=07.png,0
ID=10_x=10_y=00.png,0
ID=10_x=10_y=01.png,1
ID=10_x=10_y=02.png,1
ID=10_x=10_y=03.png,1
ID=10_x=10_y=04.png,0
ID=10_x=10_y=05.png,0
ID=10_x=10_y=06.png,0
ID=10_x=10_y=07.png,0
ID=10_x=11_y=00.png,exclude
ID=10_x=11_y=01.png,1
ID=10_x=11_y=02.png,exclude
ID=10_x=11_y=03.png,1
ID=10_x=11_y=04.png,0
ID=10_x=11_y=05.png,0
ID=10_x=11_y=06.png,0
ID=10_x=11_y=07.png,0
